PLATFORM_NUMBER,time,latitude,longitude,PRES,TEMP,PSAL
,UTC,degrees_north,degrees_east,decibar,degree_Celsius,PSU
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,612.8,8.622,34.894
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,637.4,8.343,34.876
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,662.4,8.123,34.864
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,687.5,8.073,34.876
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,712.6,7.883,34.861
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,737.5,7.76,34.867
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,762.6,7.815,34.907
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,787.5,7.752,34.928
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,812.4,7.58,34.918
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,837.5,7.409,34.913
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,862.7,7.394,34.938
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,887.6,7.28,34.931
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,912.5,7.104,34.914
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,937.4,6.947,34.904
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,962.3,6.651,34.874
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,987.3,6.291,34.839
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,1024.9,6.14,34.84
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,1075.1,5.85,34.835
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,1124.8,5.646,34.834
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,1175.1,5.403,34.827
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,1225.0,5.244,34.826
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,1276.8,4.921,34.807
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,1324.7,4.704,34.806
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,1374.8,4.515,34.807
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,1424.9,4.279,34.802
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,1476.0,4.059,34.8
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,1524.4,3.838,34.796
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,1574.9,3.665,34.793
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,1624.8,3.546,34.791
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,1675.8,3.385,34.787
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,1724.6,3.246,34.785
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,1774.8,3.088,34.78
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,1825.5,2.925,34.777
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,1875.1,2.82,34.774
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,1925.5,2.723,34.772
2903951,2025-04-21T12:52:00Z,-3.5143516666666668,80.62884166666667,1963.2,2.628,34.769
7902250,2025-04-23T13:28:00Z,-1.7322816666666667,85.17659333333333,2.5,30.083,34.519
